Source,Target,Type,Rota de ligacao
178,179,Undirected,902
178,179,Undirected,922
178,179,Undirected,92
179,180,Undirected,202
179,180,Undirected,220
179,180,Undirected,245
179,180,Undirected,77
179,180,Undirected,902
179,180,Undirected,922
179,180,Undirected,92
180,181,Undirected,202
180,181,Undirected,220
180,181,Undirected,245
180,181,Undirected,77
180,181,Undirected,902
180,181,Undirected,922
180,181,Undirected,92
181,226,Undirected,202
181,570,Undirected,220
181,182,Undirected,245
181,182,Undirected,77
181,182,Undirected,901
181,182,Undirected,902
181,182,Undirected,90
181,182,Undirected,911
181,182,Undirected,922
181,182,Undirected,92
182,183,Undirected,245
182,183,Undirected,77
182,183,Undirected,901
182,183,Undirected,902
182,183,Undirected,90
182,183,Undirected,911
182,183,Undirected,922
182,183,Undirected,92
183,184,Undirected,245
183,184,Undirected,77
183,184,Undirected,901
183,184,Undirected,902
183,184,Undirected,90
183,184,Undirected,911
183,184,Undirected,922
183,184,Undirected,92
184,185,Undirected,245
184,185,Undirected,77
184,185,Undirected,901
184,185,Undirected,902
184,185,Undirected,90
184,185,Undirected,911
184,185,Undirected,922
184,185,Undirected,92
185,186,Undirected,245
185,320,Undirected,77
185,320,Undirected,901
185,320,Undirected,902
185,186,Undirected,90
185,320,Undirected,911
185,320,Undirected,922
185,207,Undirected,92
186,187,Undirected,245
186,187,Undirected,900
186,187,Undirected,90
187,188,Undirected,245
187,188,Undirected,900
187,188,Undirected,90
188,189,Undirected,245
188,189,Undirected,900
188,189,Undirected,90
189,197,Undirected,245
189,190,Undirected,900
189,190,Undirected,90
190,194,Undirected,900
190,191,Undirected,90
191,192,Undirected,90
192,193,Undirected,90
193,194,Undirected,90
194,195,Undirected,900
194,195,Undirected,90
195,197,Undirected,900
195,196,Undirected,90
196,197,Undirected,90
197,198,Undirected,245
197,198,Undirected,900
197,198,Undirected,90
198,199,Undirected,245
198,199,Undirected,900
198,199,Undirected,90
199,200,Undirected,245
199,200,Undirected,900
199,200,Undirected,90
200,201,Undirected,245
200,201,Undirected,900
200,201,Undirected,90
201,231,Undirected,245
201,320,Undirected,900
201,320,Undirected,90
202,207,Undirected,444
203,204,Undirected,400
204,567,Undirected,400
205,206,Undirected,404
206,207,Undirected,404
207,208,Undirected,404
207,208,Undirected,444
207,208,Undirected,4
207,208,Undirected,550
207,208,Undirected,903
207,208,Undirected,92
207,208,Undirected,955
208,331,Undirected,303
208,212,Undirected,3
208,213,Undirected,404
208,242,Undirected,444
208,214,Undirected,4
208,212,Undirected,505
