422,TAVARES CAVALCANTE,599 - OPOSTO,7,9,910,92,333,505,3,555,,,,,,,,-7.217.808.030.545.710,-3.587.673.501.111.560
97,FLORIANO PEIXOTO,PAGUE FACIL,5,20,263,300,303,333,,,,,,,,,,-7.218.267.023.563.380,-3.588.107.499.293.980
877,JOAQUIM AMORIM JUNIOR,462,1,20,,,,,,,,,,,,,,-722.637.701.779.604,-35.922.040.035.948.100
878,VICENTE GOMES DE ALMEIDA,1192 - OPOSTO,1,20,,,,,,,,,,,,,,-7.225.336.991.250.510,-35.925.953.965.634.100
880,VICENTE GOMES DE ALMEIDA,735,1,20,,,,,,,,,,,,,,-722.085.895.948.112,-35.925.834.020.599.700
881,VICENTE GOMES DE ALMEIDA,617 - VIZINHO,1,20,,,,,,,,,,,,,,-7.218.956.016.004.080,-35.925.779.035.314.900
883,ARQUELAU DA COSTA GUIMARAES,150,1,20,,,,,,,,,,,,,,-7.218.801.034.614.440,-35.929.471.012.204.800
884,PLINIO LEMOS,2230,1,20,,,,,,,,,,,,,,-721.778.498.031.199,-35.929.620.964.452.600
99,FLORIANO PEIXOTO,1044,4,22,220,222,202,,,,,,,,,,,-7.217.688.001.692.290,-35.879.819.970.577.900
124,FLORIANO PEIXOTO,8,2,22,66,,,,,,,,,,,,SIM,-7.237.103.004.008.530,-35.922.850.985.080.000
125,FLORIANO PEIXOTO,14B,2,22,66,,,,,,,,,,,,SIM,-7.236.501.015.722.750,-35.921.370.992.437.000
126,FLORIANO PEIXOTO,MEGA NORDESTE,2,22,66,,,,,,,,,,,,SIM,-7.235.221.015.289.420,-35.918.448.977.172.300
127,FLORIANO PEIXOTO,FAVELA DO PAPELAO,2,22,66,,,,,,,,,,,,,-7.233.501.970.767.970,-35.914.534.041.658.000
128,FLORIANO PEIXOTO,RHEMA,2,22,66,,,,,,,,,,,,SIM,-7.232.992.015.779.010,-35.913.394.019.007.600
771,DINAMERICA ALVES CORREA,470,2,22,222,,,,,,,,,,,,,-7.232.331.018.894.910,-35.910.483.989.864.500
772,DINAMERICA ALVES CORREA,AUTOESCOLA SANTO ANDRE,2,22,222,,,,,,,,,,,,SIM,-7.235.858.961.939.810,-35.910.857.990.384.100
773,DINAMERICA ALVES CORREA,ARMAZEM DO CIMENTO,2,22,222,,,,,,,,,,,,SIM,-7.237.886.041.402.810,-359.110.670.350.492
774,DINAMERICA ALVES CORREA,THERMO INJET,2,22,222,,,,,,,,,,,,SIM,-7.240.117.974.579.330,-35.911.299.968.138.300
775,DINAMERICA ALVES CORREA,ESCOLA JARDIM MARAVILHA,2,22,202,,,,,,,,,,,,,-7.241.653.958.335.510,-35.911.460.984.498.200
776,DINAMERICA ALVES CORREA,JC ROCHA,2,22,202,,,,,,,,,,,,SIM,-7.244.628.025.218.840,-35.911.710.010.841.400
835,TRANQUILINO COELHO LEMOS,500,1,22,,,,,,,,,,,,,,-7.237.362.004.816.530,-35.917.990.989.983.000
836,JOSE AGOSTINHO DO NASCIMENTO,669 - OPOSTO,1,22,,,,,,,,,,,,,,-7.241.079.965.606.330,-35.917.826.034.128.600
837,TRANQUILINO COELHO LEMOS,IFPB,1,22,,,,,,,,,,,,,SIM,-7.240.078.998.729.580,-35.916.682.993.993.100
838,TRANQUILINO COELHO LEMOS,EMPRESA NACIONAL,1,22,,,,,,,,,,,,,,-7.237.577.000.632.880,-35.917.726.960.033.100
750,VINTE E QUATRO DE MAIO,1869 - OPOSTO,1,44,,,,,,,,,,,,,,-7.254.261.011.257.760,-35.885.755.028.575.600
755,RITA ALVES RAMOS,772,1,44,,,,,,,,,,,,,,-7.256.088.014.692.060,-35.884.013.017.639.500
759,ALDERICO PESSOA DE OLIVEIRA,642 - OPOSTO,1,44,,,,,,,,,,,,,SIM,-7.247.812.980.785.960,-35.884.091.975.167.300
760,HUMBERTO BATISTA LIMA,39,1,44,,,,,,,,,,,,,,-7.245.686.994.865.530,-35.882.444.009.184.800
761,APRIGIO FERREIRA LEITE,404 - OPOSTO,1,44,,,,,,,,,,,,,,-7.245.345.013.216.130,-35.882.027.009.502.000
6,BR-230,560,3,55,550,955,,,,,,,,,,,SIM,-7.237.944.966.182.110,-35.866.168.029.606.300
7,BR-230,IGREJA PETENCOSTAL,3,55,550,955,,,,,,,,,,,SIM,-7.238.891.031.593.080,-35.864.332.979.544.900
8,SAO LUIS,154,2,55,550,,,,,,,,,,,,,-724.012.803.286.314,-35.862.023.010.849.900
9,JOSELITA BRASILEIRO,137 - OPOSTO,2,55,550,,,,,,,,,,,,,-7.240.329.030.901.190,-35.863.694.027.066.200
10,RANULFO GOMES DE ARAUJO,208,2,55,550,,,,,,,,,,,,,-7.240.374.041.721.220,-35.865.807.021.036.700
107,ANTONIO JOSE RODRIGUES,292 - OPOSTO,1,55,,,,,,,,,,,,,,-7.232.785.988.599.060,-35.865.275.021.642.400
121,ANTONIO JOSE RODRIGUES,45,1,55,,,,,,,,,,,,,,-7.231.111.032.888.290,-3.586.670.002.900.060
134,DOM BOSCO,LANCHONETE,1,55,,,,,,,,,,,,,,-7.227.057.041.600.340,-35.870.165.023.952.700
140,FLORIANO PEIXOTO,PRACA CLEMENTINO PROCOPIO,9,55,500,505,550,555,303,333,300,3,,,,,SIM,-721.965.498.290.956,-3.588.401.997.461.910
213,JILO GUEDES,POSTO ALE,3,55,92,404,,,,,,,,,,,SIM,-7.221.491.960.808.630,-35.875.405.976.548.700
328,RAIMUNDO NONATO,40,2,55,505,,,,,,,,,,,,SIM,-7.225.745.022.296.900,-35.868.169.041.350.400
329,RAIMUNDO NONATO,213,2,55,505,,,,,,,,,,,,,-7.223.816.011.101.000,-35.868.123.024.702.000
428,TERMINAL RODOVIARIO ARGEMIRO DE FIQUEIREDO,PORTAO DE EMBARQUE,6,55,505,550,555,92,245,,,,,,,,,-7.238.234.980.031.840,-3.587.022.596.038.870
429,EUTECIA VITAL RIBEIRO,CEDMEX - OPOSTO,6,55,505,550,555,92,245,,,,,,,,SIM,-7.239.447.003.230.450,-35.872.527.966.275.800
430,BASÍLIO DE ARAUJO,RODOVIARIA,6,55,505,550,555,92,245,,,,,,,,,-7.237.390.000.373.120,-35.870.791.990.309.900
431,OTACÍLIO NEPOMUCENO,PARTAGE,6,55,505,550,555,92,245,,,,,,,,SIM,-7.236.337.987.706.060,-35.871.015.032.753.300
432,OTACÍLIO NEPOMUCENO,PARTAGE,6,55,505,550,555,92,245,,,,,,,,SIM,-7.236.288.031.563.160,-35.871.058.031.916.600
433,OTACÍLIO NEPOMUCENO,PARTAGE,6,55,505,550,555,92,245,,,,,,,,SIM,-7.236.288.031.563.160,-35.871.058.031.916.600
434,OTACÍLIO NEPOMUCENO,CITROEN,6,55,505,550,555,92,245,,,,,,,,SIM,-7.235.185.978.934.160,-35.871.939.975.768.300
440,INDEPENDÊNCIA,432,3,55,500,555,,,,,,,,,,,,-7.224.112.981.930.370,-35.896.144.984.290.000
441,INDEPENDÊNCIA,112,3,55,500,555,,,,,,,,,,,,-7.224.193.029.105.660,-35.897.775.012.999.700
456,ABEL COSTA,427,2,55,555,,,,,,,,,,,,,-7.220.437.014.475.460,-35.908.637.959.510.000
493,VINTE E SETE DE JULHO,425 - OPOSTO,3,55,505,222,,,,,,,,,,,,-7.225.925.987.586.370,-35.912.762.023.508.500
548,ASSIS CHATEAUBRIAND,300,3,55,500,555,,,,,,,,,,,,-7.230.754.969.641.560,-35.889.254.976.063.900
549,DUQUE DE CAXIAS,109,2,55,500,,,,,,,,,,,,,-72.235.659.789.294,-35.897.933.011.874.500
550,JOSE DE ALENCAR,ESTADUAL DA PRATA,2,55,500,,,,,,,,,,,,,-7.221.707.040.444.010,-35.897.802.002.727.900
551,JOSE DE ALENCAR,ATECEL,2,55,500,,,,,,,,,,,,,-72.211.570.199.579,-35.899.969.981.983.300
552,JOSE DE ALENCAR,1100,2,55,500,,,,,,,,,,,,,-7.220.536.004.751.920,-35.902.423.029.765.400
557,VINTE E SETE DE JULHO,CONFORTEL - OPOSTO,3,55,222,500,,,,,,,,,,,SIM,-7.220.836.998.894.810,-35.913.502.983.748.900
573,FLORIANO PEIXOTO,PRACA CLEMENTINO PROCOPIO,9,55,500,505,550,555,303,333,300,3,,,,,SIM,-721.965.498.290.956,-3.588.401.997.461.910
574,FLORIANO PEIXOTO,PRACA CLEMENTINO PROCOPIO,9,55,500,505,550,555,303,333,300,3,,,,,SIM,-721.965.498.290.956,-3.588.401.997.461.910
584,PROFESSOR CARLOS FRANCISCO MEDEIROS DE ALMEIDA,MONTE CARMELO,1,55,,,,,,,,,,,,,,-7.221.866.967.156.520,-35.903.104.981.407.500
585,SANTA LUZIA,129,1,55,,,,,,,,,,,,,,-7.221.846.012.398.600,-35.905.196.014.791.700
586,SANTA LUZIA,48,1,55,,,,,,,,,,,,,SIM,-722.195.397.131.145,-35.905.323.000.624.700
587,SANTA LUZIA,187,1,55,,,,,,,,,,,,,,-7.223.637.979.477.640,-35.907.965.982.332.800
588,VINTE E SETE DE JULHO,300 - OPOSTO,2,55,222,,,,,,,,,,,,SIM,-7.227.355.018.258.090,-35.913.368.035.107.800
589,ALMEIDA BARRETO,2818 - OPOSTO,2,55,222,,,,,,,,,,,,SIM,-7.229.104.992.002.240,-35.910.236.975.178.100
590,ALMEIDA BARRETO,2588 - OPOSTO,2,55,222,,,,,,,,,,,,SIM,-722.919.300.198.555,-35.908.230.012.282.700
591,ALMEIDA BARRETO,2028 - OPOSTO,2,55,222,,,,,,,,,,,,SIM,-7.229.324.011.132.120,-3.590.591.199.696.060
732,JOAO FLORENTINO DE CARVALHO,VIALUZ - OPOSTO,4,55,92,444,955,,,,,,,,,,,-7.224.335.018.545.380,-35.876.784.967.258.500
110,FLORIANO PEIXOTO,HELENO CABELEREIRO,7,66,263,660,222,550,202,22,,,,,,,SIM,-7.226.473.996.415.730,-35.899.007.990.956.300
111,FLORIANO PEIXOTO,1640,7,66,263,660,222,550,202,22,,,,,,,,-7.228.187.005.966.900,-35.902.856.038.883.300
112,FLORIANO PEIXOTO,MULTI CAR - OPOSTO,5,66,263,660,220,222,,,,,,,,,SIM,-7.230.028.007.179.490,-35.907.143.969.088.700
113,FLORIANO PEIXOTO,2380,5,66,263,660,220,222,,,,,,,,,SIM,-723.089.100.793.004,-35.909.094.018.861.600
129,FLORIANO PEIXOTO,2693,2,66,22,,,,,,,,,,,,,-7.232.174.025.848.500,-3.591.156.299.225.980
130,FLORIANO PEIXOTO,PIZZARELLA - OPOSTO,6,66,263,22,220,660,202,,,,,,,,SIM,-7.231.200.970.709.320,-35.909.317.983.314.300
131,FLORIANO PEIXOTO,MULTICAR,6,66,263,22,220,660,202,,,,,,,,SIM,-7.230.352.973.565.450,-35.907.427.025.958.800
132,FLORIANO PEIXOTO,1819,8,66,263,22,220,660,202,55,222,,,,,,SIM,-722.904.103.808.105,-3.590.451.599.098.740
133,FLORIANO PEIXOTO,1800,7,66,263,660,222,550,202,22,,,,,,,,-7.228.791.005.909.440,-35.904.309.041.798.100
135,FLORIANO PEIXOTO,1359,8,66,263,22,220,660,202,55,222,,,,,,,-7.227.765.982.970.590,-35.901.462.966.576.200
136,FLORIANO PEIXOTO,IGREJA SAO CRISTOVAO,8,66,263,22,220,660,202,55,222,,,,,,SIM,-7.226.698.966.696.850,-35.899.073.034.524.900
137,FLORIANO PEIXOTO,APTA - OPOSTO,10,66,263,22,220,660,202,55,222,505,550,,,,SIM,-7.225.063.992.664.210,-35.895.604.016.259.300
138,FLORIANO PEIXOTO,845,10,66,263,22,220,660,202,55,222,505,550,,,,,-72.238.630.335.778,-35.893.097.994.849.000
153,FLORIANO PEIXOTO,1328,7,66,263,660,222,550,202,22,,,,,,,,-7.227.328.028.529.880,-35.901.032.974.943.500
154,FLORIANO PEIXOTO,PIZZARELLA,5,66,263,660,220,222,,,,,,,,,SIM,-723.104.196.600.616,-35.909.395.013.004.500
571,FLORIANO PEIXOTO,1800,7,66,263,660,222,550,202,22,,,,,,,,-7.228.791.005.909.440,-35.904.309.041.798.100
572,FLORIANO PEIXOTO,845,10,66,263,22,220,660,202,55,222,505,550,,,,,-72.238.630.335.778,-35.893.097.994.849.000
685,SEBASTIAO MARTINS DE OLIVEIRA,1120A - OPOSTO,4,66,202,245,263,,,,,,,,,,,-7.229.641.014.710.060,-35.921.181.980.520.400
686,GUARABIRA,MONT MOVEIS,4,66,202,245,263,,,,,,,,,,,-7.230.509.966.611.860,-35.922.659.039.497.300
687,LEONARDO COSTA VASCONCELOS,MINI BOX,4,66,202,245,263,,,,,,,,,,,-7.230.437.966.063.610,-35.924.239.028.245.200
688,PLINIO LEMOS,380,4,66,202,245,263,,,,,,,,,,SIM,-7.231.869.008.392.090,-35.926.228.975.877.100
868,CAICO,ESCOLA CARLOS DRUMOND DE ANDRADE - OPOSTO,2,66,245,,,,,,,,,,,,SIM,-7.231.253.022.328.010,-35.927.262.967.452.400
870,CAICO,96 - OPOSTO,3,66,263,245,,,,,,,,,,,,-7.228.851.020.336.150,-3.592.849.301.174.280
872,CAICO,943 - OPOSTO,3,66,263,245,,,,,,,,,,,,-7.226.555.971.428.750,-35.930.402.996.018.500
888,ENGENHEIRO LOURIVAL DE ANDRADE,1673,,66,263,,,,,,,,,,,,,-7.229.240.024.462.340,-35.914.984.988.048.600
182,ALMIRANTE BARROSO,2591,8,77,92,902,922,245,901,911,90,,,,,,SIM,-7.246.215.976.774.690,-35.910.283.997.654.900
183,ALMIRANTE BARROSO,2439,8,77,92,902,922,245,901,911,90,,,,,,,-7.245.979.020.372.030,-35.908.733.010.292.000
184,ALMIRANTE BARROSO,A&C,8,77,92,902,922,245,901,911,90,,,,,,,-7.245.272.006.839.510,-3.590.584.896.504.870
185,ALMIRANTE BARROSO,1812,8,77,92,902,922,245,901,911,90,,,,,,,-7.243.998.041.376.470,-35.903.633.963.316.600
627,CARMELITA SILVA DE ARAUJO,373 - OPOSTO,1,77,,,,,,,,,,,,,,-7.254.422.027.617.690,-35.926.071.982.830.700
628,CARMELITA SILVA DE ARAUJO,664,1,77,,,,,,,,,,,,,,-7.253.968.985.751.270,-35.923.545.006.662.600
629,OTAVIO BATISTA CABRAL (TRAVESSA),ESCOLA MUNICIPAL,1,77,,,,,,,,,,,,,SIM,-7.253.616.023.808.710,-35.920.275.980.606.600
630,OTAVIO BATISTA CABRAL,808,1,77,,,,,,,,,,,,,,-7.255.163.993.686.430,-35.920.744.026.079.700
631,OTAVIO BATISTA CABRAL,DISTRIBUIDORA DE GAS,1,77,,,,,,,,,,,,,,-7.257.075.989.618.890,-35.920.273.968.949.900
632,OTAVIO BATISTA CABRAL,Q-7; L-7,1,77,,,,,,,,,,,,,,-7.258.465.038.612.480,-35.920.030.977.576.900
633,OTAVIO BATISTA CABRAL,Q-9; L-24,1,77,,,,,,,,,,,,,,-7.259.447.984.397.410,-35.919.863.004.237.400
634,PROJETADA,Q-I; MINI BOX JOSIENE,1,77,,,,,,,,,,,,,,-7.260.277.960.449.450,-35.921.336.961.910.100
635,PROJETADA,"Q-8, 529",2,77,,,,,,,,,,,,,SIM,-7.258.158.009.499.310,-35.922.255.031.764.500
